question_id,head,relation
Q0001,Alprazolam,interacts_with
Q0002,Lithium,interacts_with
Q0003,Bipolar_Disorder,can_cause
Q0004,Insomnia,can_cause
Q0005,Azathioprine,contraindicated_with
Q0006,Metoclopramide,contraindicated_with
Q0007,Aspirin,contraindicated_with
Q0008,Diazepam,contraindicated_with
Q0009,Fentanyl,contraindicated_with
Q0010,Haloperidol,contraindicated_with
Q0011,Ibuprofen,contraindicated_with
Q0012,Lithium,contraindicated_with
Q0013,Oxycodone,contraindicated_with
Q0014,Phenytoin,contraindicated_with
Q0015,Sumatriptan,contraindicated_with
Q0016,Venlafaxine,contraindicated_with
Q0017,ADHD,diagnosed_by
Q0018,Anxiety_Disorder,diagnosed_by
Q0019,Celiac_Disease,diagnosed_by
Q0020,Gastritis,diagnosed_by
Q0021,Multiple_Sclerosis,diagnosed_by
Q0022,PTSD,diagnosed_by
Q0023,Ulcerative_Colitis,diagnosed_by
Q0024,Aripiprazole,is_a
Q0025,Celecoxib,is_a
Q0026,Cholecystitis,is_a
Q0027,Clonazepam,is_a
Q0028,Cluster_Headache,is_a
Q0029,Codeine,is_a
Q0030,Diclofenac,is_a
Q0031,Duloxetine,is_a
Q0032,Escitalopram,is_a
Q0033,Famotidine,is_a
Q0034,Gabapentin,is_a
Q0035,Irritable_Bowel_Syndrome,is_a
Q0036,Lamotrigine,is_a
Q0037,Lansoprazole,is_a
Q0038,Levetiracetam,is_a
Q0039,Lorazepam,is_a
Q0040,Naproxen,is_a
Q0041,Narcolepsy,is_a
Q0042,OCD,is_a
Q0043,Olanzapine,is_a
Q0044,Panic_Disorder,is_a
Q0045,Pantoprazole,is_a
Q0046,Paroxetine,is_a
Q0047,Pregabalin,is_a
Q0048,Quetiapine,is_a
Q0049,Rabeprazole,is_a
Q0050,Ranitidine,is_a
Q0051,Restless_Leg_Syndrome,is_a
Q0052,Risperidone,is_a
Q0053,Rizatriptan,is_a
Q0054,Temazepam,is_a
Q0055,Tension_Headache,is_a
Q0056,Trigeminal_Neuralgia,is_a
Q0057,Vertigo,is_a
Q0058,ADHD,is_a
Q0059,Alprazolam,is_a
Q0060,Anxiety_Disorder,is_a
Q0061,Aspirin,is_a
Q0062,Bipolar_Disorder,is_a
Q0063,Celiac_Disease,is_a
Q0064,Diazepam,is_a
Q0065,Fentanyl,is_a
Q0066,Gastritis,is_a
Q0067,Haloperidol,is_a
Q0068,Ibuprofen,is_a
Q0069,Insomnia,is_a
Q0070,Multiple_Sclerosis,is_a
Q0071,Oxycodone,is_a
Q0072,PTSD,is_a
Q0073,Phenytoin,is_a
Q0074,Sumatriptan,is_a
Q0075,Ulcerative_Colitis,is_a
Q0076,Venlafaxine,is_a
Q0077,Amitriptyline,treats
Q0078,Antacid,treats
Q0079,Domperidone,treats
Q0080,Infliximab,treats
Q0081,Mesalazine,treats
Q0082,Ondansetron,treats
Q0083,Paracetamol,treats
Q0084,Pramipexole,treats
Q0085,Ropinirole,treats
Q0086,Aripiprazole,treats
Q0087,Azathioprine,treats
Q0088,Celecoxib,treats
Q0089,Clonazepam,treats
Q0090,Codeine,treats
Q0091,Diclofenac,treats
Q0092,Duloxetine,treats
Q0093,Escitalopram,treats
Q0094,Famotidine,treats
Q0095,Gabapentin,treats
Q0096,Lamotrigine,treats
Q0097,Lansoprazole,treats
Q0098,Levetiracetam,treats
Q0099,Lorazepam,treats
Q0100,Metoclopramide,treats
Q0101,Naproxen,treats
Q0102,Olanzapine,treats
Q0103,Pantoprazole,treats
Q0104,Pregabalin,treats
Q0105,Quetiapine,treats
Q0106,Rabeprazole,treats
Q0107,Ranitidine,treats
Q0108,Risperidone,treats
Q0109,Rizatriptan,treats
Q0110,Temazepam,treats
Q0111,Alprazolam,treats
Q0112,Diazepam,treats
Q0113,Fentanyl,treats
Q0114,Haloperidol,treats
Q0115,Lithium,treats
Q0116,Oxycodone,treats
Q0117,Phenytoin,treats
Q0118,Sumatriptan,treats
Q0119,Venlafaxine,treats
Q0120,Autism_Spectrum_Disorder,causes_symptom
Q0121,Eating_Disorder,causes_symptom
Q0122,Trigeminal_Neuralgia,causes_symptom
Q0123,Carbamazepine,interacts_with
Q0124,Fluoxetine,interacts_with
