question_id,head,relation
Q0001,Allopurinol,interacts_with
Q0002,Ciprofloxacin,interacts_with
Q0003,Imatinib,interacts_with
Q0004,Nitrofurantoin,interacts_with
Q0005,Pembrolizumab,interacts_with
Q0006,Osteoarthritis,prevented_by
Q0007,Family_History,risk_factor_for
Q0008,Smoking,risk_factor_for
Q0009,Aspirin,contraindicated_with
Q0010,Colchicine,contraindicated_with
Q0011,Isotretinoin,contraindicated_with
Q0012,Adalimumab,contraindicated_with
Q0013,Allopurinol,contraindicated_with
Q0014,Ciprofloxacin,contraindicated_with
Q0015,Cyclophosphamide,contraindicated_with
Q0016,Doxorubicin,contraindicated_with
Q0017,Etanercept,contraindicated_with
Q0018,Nitrofurantoin,contraindicated_with
Q0019,Terbinafine,contraindicated_with
Q0020,Otitis_Media,diagnosed_by
Q0021,Cefalexin,treats
Q0022,Ibuprofen,treats
Q0023,Secukinumab,treats
Q0024,Abatacept,treats
Q0025,Alpha_Blocker,treats
Q0026,Bevacizumab,treats
Q0027,Capecitabine,treats
Q0028,Carboplatin,treats
Q0029,Cetuximab,treats
Q0030,Cisplatin,treats
Q0031,Clotrimazole,treats
Q0032,Colchicine,treats
Q0033,Docetaxel,treats
Q0034,Enzalutamide,treats
Q0035,Erlotinib,treats
Q0036,Fluorouracil,treats
Q0037,Gemcitabine,treats
Q0038,Infliximab,treats
Q0039,Isotretinoin,treats
Q0040,Leflunomide,treats
Q0041,Letrozole,treats
Q0042,Nivolumab,treats
Q0043,Oxaliplatin,treats
Q0044,Paclitaxel,treats
Q0045,Sorafenib,treats
Q0046,Sulfasalazine,treats
Q0047,Tamsulosin,treats
Q0048,Tocilizumab,treats
Q0049,Trastuzumab,treats
Q0050,Vemurafenib,treats
Q0051,Allopurinol,treats
Q0052,Ciprofloxacin,treats
Q0053,Etanercept,treats
Q0054,Imatinib,treats
Q0055,Nitrofurantoin,treats
Q0056,Pembrolizumab,treats
Q0057,Terbinafine,treats
Q0058,Abatacept,is_a
Q0059,Acne,is_a
Q0060,Alpha_Blocker,is_a
Q0061,Bevacizumab,is_a
Q0062,Bladder_Cancer,is_a
Q0063,Capecitabine,is_a
Q0064,Carboplatin,is_a
Q0065,Cellulitis,is_a
Q0066,Cetuximab,is_a
Q0067,Cisplatin,is_a
Q0068,Clotrimazole,is_a
Q0069,Croup,is_a
Q0070,Docetaxel,is_a
Q0071,Enzalutamide,is_a
Q0072,Erlotinib,is_a
Q0073,Fluorouracil,is_a
Q0074,Gemcitabine,is_a
Q0075,Hand_Foot_Mouth_Disease,is_a
Q0076,Infliximab,is_a
Q0077,Kawasaki_Disease,is_a
Q0078,Kidney_Failure,is_a
Q0079,Leflunomide,is_a
Q0080,Letrozole,is_a
Q0081,Liver_Cancer,is_a
Q0082,Nivolumab,is_a
Q0083,Oxaliplatin,is_a
Q0084,Paclitaxel,is_a
Q0085,Pancreatic_Cancer,is_a
Q0086,Psoriatic_Arthritis,is_a
Q0087,RSV,is_a
Q0088,Rosacea,is_a
Q0089,Scabies,is_a
Q0090,Sjogren_Syndrome,is_a
Q0091,Sorafenib,is_a
Q0092,Stomach_Cancer,is_a
Q0093,Sulfasalazine,is_a
Q0094,Tamsulosin,is_a
Q0095,Tinea,is_a
Q0096,Tocilizumab,is_a
Q0097,Trastuzumab,is_a
Q0098,Urticaria,is_a
Q0099,Vasculitis,is_a
Q0100,Vemurafenib,is_a
Q0101,Whooping_Cough,is_a
Q0102,Adalimumab,is_a
Q0103,Cyclophosphamide,is_a
Q0104,Doxorubicin,is_a
Q0105,Etanercept,is_a
Q0106,Imatinib,is_a
Q0107,Osteoarthritis,is_a
Q0108,Otitis_Media,is_a
Q0109,Pembrolizumab,is_a
Q0110,Terbinafine,is_a
Q0111,Scabies,causes_symptom
Q0112,Finasteride,interacts_with
Q0113,Fluconazole,interacts_with
Q0114,Hydroxychloroquine,interacts_with
Q0115,Methotrexate,interacts_with
Q0116,Rituximab,interacts_with
Q0117,Tamoxifen,interacts_with
Q0118,Breast_Cancer,prevented_by
Q0119,Colorectal_Cancer,prevented_by
Q0120,Kidney_Stones,prevented_by
Q0121,Melanoma,prevented_by
Q0122,Prostate_Cancer,prevented_by
Q0123,Urinary_Tract_Infection,prevented_by
Q0124,Eczema,prevented_by
Q0125,Gout,prevented_by
Q0126,Lung_Cancer,prevented_by
Q0127,Psoriasis,prevented_by
Q0128,Rheumatoid_Arthritis,prevented_by
Q0129,Benign_Prostatic_Hyperplasia,risk_factor_for
Q0130,Chronic_Kidney_Disease,risk_factor_for
Q0131,Lupus,risk_factor_for
Q0132,Urinary_Tract_Infection,risk_factor_for
Q0133,Eczema,risk_factor_for
Q0134,Gout,risk_factor_for
Q0135,Lung_Cancer,risk_factor_for
Q0136,Psoriasis,risk_factor_for
Q0137,Rheumatoid_Arthritis,risk_factor_for
Q0138,Ankylosing_Spondylitis,can_cause
Q0139,Leukemia,can_cause
Q0140,Breast_Cancer,can_cause
Q0141,Chronic_Kidney_Disease,can_cause
Q0142,Colorectal_Cancer,can_cause
Q0143,Kidney_Stones,can_cause
Q0144,Lupus,can_cause
Q0145,Melanoma,can_cause
Q0146,Prostate_Cancer,can_cause
Q0147,Eczema,can_cause
Q0148,Gout,can_cause
Q0149,Lung_Cancer,can_cause
Q0150,Psoriasis,can_cause
Q0151,Rheumatoid_Arthritis,can_cause
Q0152,Finasteride,contraindicated_with
Q0153,Fluconazole,contraindicated_with
Q0154,Hydroxychloroquine,contraindicated_with
Q0155,Rituximab,contraindicated_with
Q0156,Tamoxifen,contraindicated_with
Q0157,Benign_Prostatic_Hyperplasia,affects_organ
Q0158,Fibromyalgia,affects_organ
Q0159,Lymphoma,affects_organ
Q0160,Ankylosing_Spondylitis,affects_organ
Q0161,Leukemia,affects_organ
Q0162,Breast_Cancer,affects_organ
Q0163,Chronic_Kidney_Disease,affects_organ
Q0164,Colorectal_Cancer,affects_organ
Q0165,Kidney_Stones,affects_organ
Q0166,Melanoma,affects_organ
Q0167,Prostate_Cancer,affects_organ
Q0168,Urinary_Tract_Infection,affects_organ
Q0169,Eczema,affects_organ
Q0170,Gout,affects_organ
Q0171,Lung_Cancer,affects_organ
Q0172,Psoriasis,affects_organ
Q0173,Rheumatoid_Arthritis,affects_organ
Q0174,Fibromyalgia,diagnosed_by
Q0175,Lymphoma,diagnosed_by
Q0176,Ankylosing_Spondylitis,diagnosed_by
Q0177,Leukemia,diagnosed_by
Q0178,Breast_Cancer,diagnosed_by
Q0179,Chronic_Kidney_Disease,diagnosed_by
Q0180,Colorectal_Cancer,diagnosed_by
Q0181,Kidney_Stones,diagnosed_by
Q0182,Lupus,diagnosed_by
Q0183,Melanoma,diagnosed_by
Q0184,Prostate_Cancer,diagnosed_by
Q0185,Urinary_Tract_Infection,diagnosed_by
Q0186,Eczema,diagnosed_by
Q0187,Gout,diagnosed_by
Q0188,Lung_Cancer,diagnosed_by
Q0189,Psoriasis,diagnosed_by
Q0190,Rheumatoid_Arthritis,diagnosed_by
Q0191,Finasteride,treats
Q0192,Fluconazole,treats
Q0193,Hydroxychloroquine,treats
Q0194,Tamoxifen,treats
Q0195,Benign_Prostatic_Hyperplasia,is_a
Q0196,Fibromyalgia,is_a
Q0197,Finasteride,is_a
Q0198,Fluconazole,is_a
Q0199,Hydroxychloroquine,is_a
Q0200,Lymphoma,is_a
Q0201,Methotrexate,is_a
Q0202,Rituximab,is_a
Q0203,Tamoxifen,is_a
Q0204,Ankylosing_Spondylitis,is_a
Q0205,Leukemia,is_a
Q0206,Breast_Cancer,is_a
Q0207,Chronic_Kidney_Disease,is_a
Q0208,Colorectal_Cancer,is_a
Q0209,Kidney_Stones,is_a
Q0210,Lupus,is_a
Q0211,Melanoma,is_a
Q0212,Prostate_Cancer,is_a
Q0213,Urinary_Tract_Infection,is_a
Q0214,Eczema,is_a
Q0215,Gout,is_a
Q0216,Lung_Cancer,is_a
Q0217,Psoriasis,is_a
Q0218,Rheumatoid_Arthritis,is_a
Q0219,Methotrexate,contraindicated_with
Q0220,Lupus,affects_organ
Q0221,Topical_Corticosteroid,treats
Q0222,Adalimumab,treats
Q0223,Cyclophosphamide,treats
Q0224,Doxorubicin,treats
Q0225,Rituximab,treats
Q0226,Acne,causes_symptom
Q0227,Bladder_Cancer,causes_symptom
Q0228,Croup,causes_symptom
Q0229,Hand_Foot_Mouth_Disease,causes_symptom
Q0230,Kawasaki_Disease,causes_symptom
Q0231,Liver_Cancer,causes_symptom
Q0232,Pancreatic_Cancer,causes_symptom
Q0233,Psoriatic_Arthritis,causes_symptom
Q0234,RSV,causes_symptom
Q0235,Rosacea,causes_symptom
Q0236,Tinea,causes_symptom
Q0237,Urticaria,causes_symptom
Q0238,Vasculitis,causes_symptom
Q0239,Whooping_Cough,causes_symptom
Q0240,Otitis_Media,causes_symptom
Q0241,Benign_Prostatic_Hyperplasia,causes_symptom
Q0242,Kidney_Stones,causes_symptom
Q0243,Melanoma,causes_symptom
Q0244,Methotrexate,treats
Q0245,Cellulitis,causes_symptom
Q0246,Kidney_Failure,causes_symptom
Q0247,Sjogren_Syndrome,causes_symptom
Q0248,Stomach_Cancer,causes_symptom
Q0249,Osteoarthritis,causes_symptom
Q0250,Lymphoma,causes_symptom
Q0251,Ankylosing_Spondylitis,causes_symptom
Q0252,Breast_Cancer,causes_symptom
Q0253,Chronic_Kidney_Disease,causes_symptom
Q0254,Colorectal_Cancer,causes_symptom
Q0255,Prostate_Cancer,causes_symptom
Q0256,Urinary_Tract_Infection,causes_symptom
Q0257,Eczema,causes_symptom
Q0258,Gout,causes_symptom
Q0259,Psoriasis,causes_symptom
Q0260,Fibromyalgia,causes_symptom
Q0261,Leukemia,causes_symptom
Q0262,Lupus,causes_symptom
Q0263,Lung_Cancer,causes_symptom
Q0264,Rheumatoid_Arthritis,causes_symptom
